iter	Passed	Remaining
0	1	134
1	2	118
2	3	119
3	4	112
4	6	127
5	8	135
6	9	128
7	10	123
8	12	128
9	14	128
10	15	126
11	17	130
12	19	128
13	21	129
14	22	126
15	24	128
16	25	125
17	26	122
18	27	119
19	29	117
20	31	116
21	32	114
22	33	112
23	34	110
24	35	107
25	37	107
26	38	104
27	39	102
28	40	99
29	41	97
30	43	96
31	44	94
32	45	92
33	46	90
34	47	88
35	49	87
36	50	85
37	51	83
38	52	81
39	53	80
40	54	78
41	55	76
42	56	74
43	57	73
44	58	71
45	59	70
46	60	68
47	62	67
48	63	65
49	64	64
50	65	63
51	66	61
52	68	60
53	69	58
54	69	57
55	70	55
56	72	54
57	73	52
58	74	51
59	75	50
60	77	49
61	78	48
62	79	46
63	81	45
64	82	44
65	82	42
66	84	41
67	85	40
68	86	38
69	87	37
70	88	36
71	89	34
72	90	33
73	91	32
74	93	31
75	94	29
76	95	28
77	96	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	21
83	103	19
84	104	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	122	0
